iter	Passed	Remaining
1058	7549	6708
1059	7555	6700
1060	7562	6692
1061	7568	6685
1062	7575	6677
1063	7582	6669
1064	7588	6662
1065	7594	6654
1066	7601	6646
1067	7607	6638
1068	7613	6630
1069	7620	6623
1070	7626	6615
1071	7633	6607
1072	7639	6599
1073	7645	6592
1074	7652	6584
1075	7658	6576
1076	7665	6568
1077	7671	6561
1078	7677	6553
1079	7684	6546
1080	7690	6538
1081	7697	6530
1082	7703	6522
1083	7710	6515
1084	7716	6507
1085	7723	6500
1086	7729	6492
1087	7736	6484
1088	7742	6477
1089	7748	6469
1090	7755	6461
1091	7761	6454
1092	7768	6446
1093	7774	6438
1094	7781	6430
1095	7787	6423
1096	7793	6415
1097	7799	6407
1098	7806	6399
1099	7812	6391
1100	7818	6384
1101	7825	6376
1102	7831	6368
1103	7837	6361
1104	7844	6353
1105	7850	6345
1106	7857	6338
1107	7865	6332
1108	7872	6325
1109	7879	6317
1110	7885	6310
1111	7892	6302
1112	7898	6294
1113	7905	6287
1114	7911	6279
1115	7918	6272
1116	7924	6264
1117	7930	6256
1118	7937	6249
1119	7943	6241
1120	7950	6234
1121	7956	6226
1122	7963	6218
1123	7969	6211
1124	7975	6203
1125	7982	6195
1126	7988	6188
1127	7995	6180
1128	8001	6173
1129	8008	6165
1130	8014	6158
1131	8021	6150
1132	8027	6142
1133	8033	6135
1134	8040	6127
1135	8047	6120
1136	8053	6112
1137	8059	6105
1138	8066	6097
1139	8072	6089
1140	8079	6082
1141	8086	6075
1142	8092	6067
1143	8098	6059
1144	8105	6052
1145	8111	6044
1146	8118	6037
1147	8124	6029
1148	8131	6022
1149	8137	6014
1150	8143	6007
1151	8150	5999
1152	8156	5991
1153	8163	5984
1154	8169	5976
1155	8177	5970
1156	8185	5963
1157	8191	5956
1158	8197	5948
1159	8204	5941
1160	8211	5934
1161	8217	5926
1162	8224	5919
1163	8230	5911
1164	8237	5904
1165	8244	5896
1166	8250	5889
1167	8256	5881
1168	8263	5874
1169	8269	5866
1170	8276	5859
1171	8282	5851
1172	8289	5844
1173	8295	5836
1174	8302	5829
1175	8308	5821
1176	8314	5813
1177	8320	5806
1178	8327	5798
1179	8333	5791
1180	8340	5783
1181	8346	5776
1182	8353	5768
1183	8359	5761
1184	8366	5754
1185	8372	5746
1186	8378	5738
1187	8386	5731
1188	8394	5725
1189	8401	5718
1190	8407	5711
1191	8414	5703
1192	8420	5696
1193	8427	5688
1194	8434	5681
1195	8441	5674
1196	8447	5667
1197	8454	5660
1198	8461	5652
1199	8469	5646
1200	8476	5638
1201	8482	5631
1202	8489	5624
1203	8496	5617
1204	8503	5610
1205	8510	5603
1206	8517	5596
1207	8524	5589
1208	8531	5581
1209	8538	5574
1210	8545	5567
1211	8552	5560
1212	8559	5553
1213	8566	5546
1214	8573	5538
1215	8580	5531
1216	8586	5524
1217	8593	5517
1218	8600	5510
1219	8607	5503
1220	8614	5496
1221	8621	5488
1222	8628	5481
1223	8635	5474
1224	8643	5468
1225	8650	5461
1226	8659	5455
1227	8667	5449
1228	8675	5442
1229	8683	5436
1230	8691	5429
1231	8698	5422
1232	8705	5415
1233	8712	5407
1234	8719	5401
1235	8726	5394
1236	8733	5387
1237	8740	5379
1238	8748	5373
1239	8755	5366
1240	8762	5358
1241	8769	5352
1242	8776	5344
1243	8783	5337
1244	8790	5330
1245	8796	5323
1246	8803	5316
1247	8810	5308
1248	8817	5301
1249	8824	5294
1250	8831	5287
1251	8838	5280
1252	8845	5273
1253	8852	5266
1254	8858	5258
1255	8866	5251
1256	8872	5244
1257	8880	5237
1258	8887	5230
1259	8894	5223
1260	8901	5216
1261	8908	5209
1262	8916	5203
1263	8924	5196
1264	8932	5190
1265	8939	5182
1266	8946	5175
1267	8953	5168
1268	8960	5161
1269	8967	5154
1270	8974	5147
1271	8981	5140
1272	8988	5133
1273	8995	5126
1274	9002	5118
1275	9008	5111
1276	9016	5104
1277	9022	5097
1278	9029	5090
1279	9036	5082
1280	9043	5075
1281	9049	5068
1282	9056	5061
1283	9062	5053
1284	9069	5046
1285	9076	5039
1286	9082	5031
1287	9089	5024
1288	9096	5017
1289	9102	5009
1290	9108	5002
1291	9119	4997
1292	9129	4991
1293	9143	4988
1294	9151	4981
1295	9158	4974
1296	9165	4967
1297	9172	4960
1298	9179	4953
1299	9186	4946
1300	9194	4939
1301	9201	4932
1302	9207	4925
1303	9214	4917
1304	9220	4910
1305	9226	4903
1306	9233	4895
1307	9240	4888
1308	9248	4882
1309	9255	4874
1310	9262	4867
1311	9269	4860
1312	9277	4854
1313	9284	4847
1314	9293	4840
1315	9300	4833
1316	9307	4826
1317	9314	4819
1318	9321	4812
1319	9329	4806
1320	9336	4798
1321	9344	4792
1322	9350	4785
1323	9359	4778
1324	9366	4771
1325	9373	4764
1326	9380	4757
1327	9388	4750
1328	9396	4744
1329	9402	4736
1330	9411	4730
1331	9417	4723
1332	9426	4716
1333	9432	4709
1334	9441	4702
1335	9447	4695
1336	9456	4689
1337	9462	4681
1338	9469	4674
1339	9477	4667
1340	9484	4660
1341	9492	4654
1342	9498	4646
1343	9506	4640
1344	9513	4632
1345	9520	4625
1346	9528	4619
1347	9535	4612
1348	9543	4605
1349	9549	4598
1350	9556	4590
1351	9563	4583
1352	9570	4576
1353	9576	4569
1354	9583	4561
1355	9589	4554
1356	9596	4547
1357	9603	4539
1358	9609	4532
1359	9616	4525
1360	9622	4517
1361	9628	4510
1362	9635	4503
1363	9641	4495
1364	9648	4488
1365	9654	4481
1366	9661	4473
1367	9667	4466
1368	9673	4458
1369	9680	4451
1370	9687	4444
1371	9693	4437
1372	9700	4429
1373	9706	4422
1374	9713	4415
1375	9720	4407
1376	9726	4400
1377	9733	4393
1378	9740	4386
1379	9746	4379
1380	9753	4371
1381	9760	4364
