iter	Passed	Remaining
672	5291	2571
673	5296	2561
674	5301	2552
675	5307	2543
676	5312	2534
677	5317	2525
678	5336	2522
679	5341	2513
680	5347	2505
681	5367	2502
682	5372	2493
683	5377	2484
684	5382	2475
685	5387	2466
686	5392	2456
687	5411	2454
688	5416	2445
689	5421	2435
690	5427	2426
691	5432	2417
692	5437	2408
693	5447	2401
694	5452	2392
695	5457	2383
696	5462	2374
697	5467	2365
698	5504	2370
699	5509	2361
700	5513	2351
701	5534	2349
702	5539	2340
703	5544	2331
704	5549	2322
705	5554	2313
706	5559	2304
707	5579	2301
708	5584	2292
709	5589	2283
710	5610	2280
711	5624	2275
712	5629	2266
713	5634	2257
714	5641	2248
715	5646	2239
716	5651	2230
717	5656	2221
718	5661	2212
719	5667	2204
720	5673	2195
721	5683	2188
722	5688	2179
723	5693	2170
724	5698	2161
725	5703	2152
726	5709	2143
727	5728	2140
728	5733	2131
729	5738	2122
730	5743	2113
731	5748	2104
732	5753	2095
733	5758	2086
734	5763	2078
735	5768	2069
736	5773	2060
737	5778	2051
738	5783	2042
739	5788	2033
740	5793	2025
741	5798	2016
742	5803	2007
743	5808	1998
744	5813	1989
745	5819	1981
746	5824	1972
747	5835	1965
748	5840	1957
749	5849	1949
750	5854	1940
751	5858	1932
752	5863	1923
753	5868	1914
754	5874	1906
755	5879	1897
756	5884	1888
757	5889	1880
758	5908	1876
759	5913	1867
760	5918	1858
761	5923	1849
762	5928	1841
763	5933	1833
764	5939	1824
765	5944	1815
766	5949	1807
767	5955	1798
768	5960	1790
769	5964	1781
770	5984	1777
771	5989	1768
772	5994	1760
773	5999	1751
774	6004	1743
775	6009	1734
776	6014	1726
777	6019	1717
778	6029	1710
779	6034	1702
780	6039	1693
781	6059	1689
782	6063	1680
783	6068	1672
784	6073	1663
785	6078	1655
786	6083	1646
787	6089	1638
788	6094	1629
789	6104	1622
790	6109	1614
791	6115	1605
792	6121	1597
793	6127	1589
794	6133	1581
795	6138	1573
796	6143	1564
797	6148	1556
798	6153	1547
799	6158	1539
800	6163	1531
801	6181	1526
802	6187	1517
803	6192	1509
804	6228	1508
805	6265	1508
806	6270	1499
807	6289	1494
808	6295	1486
809	6305	1479
810	6310	1470
811	6315	1462
812	6321	1453
813	6326	1445
814	6331	1437
815	6336	1428
816	6341	1420
817	6346	1412
818	6352	1403
819	6357	1395
820	6362	1387
821	6367	1378
822	6372	1370
823	6381	1362
824	6386	1354
825	6391	1346
826	6396	1338
827	6411	1331
828	6416	1323
829	6421	1315
830	6441	1310
831	6446	1301
832	6452	1293
833	6457	1285
834	6462	1276
835	6467	1268
836	6476	1261
837	6504	1257
838	6509	1249
839	6514	1240
840	6519	1232
841	6524	1224
842	6528	1215
843	6533	1207
844	6538	1199
845	6543	1191
846	6548	1182
847	6565	1176
848	6595	1173
849	6600	1164
850	6605	1156
851	6611	1148
852	6641	1144
853	6647	1136
854	6652	1128
855	6657	1120
856	6663	1111
857	6668	1103
858	6673	1095
859	6678	1087
860	6686	1079
861	6692	1071
862	6697	1063
863	6716	1057
864	6721	1049
865	6727	1040
866	6746	1034
867	6752	1026
868	6761	1019
869	6766	1011
870	6771	1002
871	6777	994
872	6785	987
873	6793	979
874	6799	971
875	6805	963
876	6810	955
877	6816	947
878	6823	939
879	6839	932
880	6846	924
881	6855	917
882	6861	909
883	6867	901
884	6873	893
885	6887	886
886	6901	879
887	6907	871
888	6917	863
889	6924	855
890	6930	847
891	6937	839
892	6943	831
893	6949	823
894	6954	815
895	6961	808
896	6967	800
897	6974	792
898	6979	784
899	6985	776
900	6991	768
901	6998	760
902	7005	752
903	7021	745
904	7028	737
905	7034	729
906	7051	723
907	7058	715
908	7064	707
909	7071	699
910	7077	691
911	7084	683
912	7089	675
913	7100	668
914	7105	660
915	7111	652
916	7117	644
917	7122	636
918	7129	628
919	7134	620
920	7142	612
921	7151	604
922	7157	597
923	7175	590
924	7183	582
925	7190	574
926	7195	566
927	7201	558
928	7209	551
929	7216	543
930	7222	535
931	7228	527
932	7236	519
933	7242	511
934	7253	504
935	7261	496
936	7268	488
937	7282	481
938	7297	474
939	7303	466
940	7309	458
941	7315	450
942	7325	442
943	7341	435
944	7357	428
945	7363	420
946	7371	412
947	7387	405
948	7402	397
949	7419	390
950	7425	382
951	7432	374
952	7449	367
953	7454	359
954	7465	351
955	7481	344
956	7488	336
957	7495	328
958	7501	320
